catalog_id,smiles
Z2866904186,C#CCCC1(CCC(=O)N2CCN(C(C)c3nc(C)no3)CC2)N=N1
Z2866904189,C#CCCC1(CCC(=O)Nc2ccc(F)c(N3CCOCC3)c2)N=N1
Z2866904191,C#CCCC1(CCC(=O)N2CCC(Oc3ncccc3F)CC2)N=N1
Z2866904208,C#CCCC1(CCC(=O)N2CCc3ccc(Cl)cc3C(C)C2)N=N1
Z2866904210,C#CCCC1(CCC(=O)N2CC3(CCC3)c3ccccc32)N=N1
Z2866904214,C#CCCC1(CCC(=O)NCc2nccc(C(F)F)n2)N=N1
Z2866904217,C#CCCC1(CCC(=O)N2CCN(Cc3nnc(C)n3C)CC2)N=N1
Z2866904221,C#CCCC1(CCC(=O)N[C@@H]2CCO[C@H]2c2ccnn2C(C)C)N=N1
Z2866904223,C#CCCC1(CCC(=O)N2CCOCC2c2c(C)nn(C)c2C)N=N1
Z2866904225,C#CCCC1(CCC(=O)N2CCOC(Cn3nc(C)cc3C)C2)N=N1
Z2866904227,C#CCCC1(CCC(=O)N2CCN(Cc3nc(C)c(C)o3)CC2)N=N1
Z2866904239,C#CCCC1(CCC(=O)N2CCC(c3ccc(OC)c(F)c3)C2)N=N1
Z2866904241,C#CCCC1(CCC(=O)N2CCCC2c2ccc(OC)c(F)c2)N=N1
Z2866904252,C#CCCC1(CCC(=O)N2CCCC2(COC)C(N)=O)N=N1
Z2866904255,C#CCCC1(CCC(=O)NCCn2ccc3cc(Cl)ccc32)N=N1
Z2866904257,C#CCCC1(CCC(=O)N2CCN(CCOC)C(=O)C2)N=N1
Z2866904266,C#CCCC1(CCC(=O)N2CCCN(Cc3nccn3C)CC2)N=N1
Z2866904268,C#CCCC1(CCC(=O)NCC2CCN(c3ccccc3F)C2)N=N1
Z2866904270,C#CCCC1(CCC(=O)NCc2c(F)cccc2N2CCCC2)N=N1
Z2866904272,C#CCCC1(CCC(=O)N2CCN(Cc3cccc(F)c3)CC2)N=N1
Z2866904276,C#CCCC1(CCC(=O)Nc2nc3c(COC)cccc3s2)N=N1
Z2866904278,C#CCCC1(CCC(=O)N[C@@H]2CC(=O)N(C)[C@H]2c2ccnn2C)N=N1
Z2866904280,C#CCCC1(CCC(=O)NC2CCCN(c3ccnn3C)C2=O)N=N1
Z2866904282,C#CCCC1(CCC(=O)N2CCN(c3nccn(C)c3=O)CC2)N=N1
Z2866904295,C#CCCC1(CCC(=O)NC2CCN(c3cc(C)nn3C)C2=O)N=N1
Z2866904297,C#CCCC1(CCC(=O)NC2CCN(C(=O)c3ccoc3)CC2)N=N1
Z2866904303,C#CCCC1(CCC(=O)Nc2ccc(N3CCCC3=O)c(F)c2)N=N1
Z2866904307,C#CCCC1(CCC(=O)N2Cc3cncnc3C2)N=N1
Z2866904313,C#CCCC1(CCC(=O)N2CCC(Cc3ccc(F)cc3)CC2)N=N1
Z2866904316,C#CCCC1(CCC(=O)N2CCC(c3ccc(F)cc3C)CC2)N=N1
Z2866904319,C#CCCC1(CCC(=O)N2CCCCC2Cc2ccc(F)cc2)N=N1
Z2866904324,C#CCCC1(CCC(=O)NCc2ccc(N3CCOCC3)nc2)N=N1
Z2866904326,C#CCCC1(CCC(=O)Nc2cccc(CN3CCOCC3)n2)N=N1
Z2866904328,C#CCCC1(CCC(=O)N2CCN(c3cc(OC)ccn3)CC2)N=N1
Z2866904330,C#CCCC1(CCC(=O)NCc2cccnc2N2CCOCC2)N=N1
Z2866904332,C#CCCC1(CCC(=O)N2CCN(c3ccncc3OC)CC2)N=N1
Z2866904333,C#CCCC1(CCC(=O)N2CCOC(COc3ccccc3)C2)N=N1
Z2866904337,C#CCCC1(CCC(=O)N2CCC(C(F)(F)F)C3(CCC3)C2)N=N1
Z2866904340,C#CCCC1(CCC(=O)NC2(C(=O)O)COc3ccccc3C2)N=N1
Z2866904346,C#CCCC1(CCC(=O)N2Cc3cccnc3C2)N=N1
Z2866904347,C#CCCC1(CCC(=O)N2CCc3ccncc32)N=N1
Z2866904355,C#CCCC1(CCC(=O)N2CCC(c3nnc4n3CCC4)CC2)N=N1
Z2866904357,C#CCCC1(CCC(=O)N2CCCC(c3nnc4n3CCC4)C2)N=N1
Z2866904361,C#CCCC1(CCC(=O)N2CCC[C@H]2Cn2cc(C3CC3)nn2)N=N1
